[+00:00:00 | ~--:--:-- left] Device: cuda
Computing baselines (100 episodes each)...
  Random baseline: 56.0% ± 18.0%
  Greedy baseline: 80.1% ± 12.0%
[+00:01:34 | ~01:31:22 left] [Ep 84] Reward: 354.08 | Coverage: 54.8% | Eps: 0.980 | Loss: 0.0000
[+00:01:35 | ~01:31:21 left] [Ep 85] Reward: 224.52 | Coverage: 52.3% | Eps: 0.980 | Loss: 0.0000
[+00:01:36 | ~01:31:20 left] [Ep 86] Reward: 266.11 | Coverage: 54.1% | Eps: 0.980 | Loss: 0.0000
[+00:01:37 | ~01:31:19 left] [Ep 87] Reward: 303.60 | Coverage: 64.4% | Eps: 0.979 | Loss: 0.0000
[+00:01:38 | ~01:31:18 left] [Ep 88] Reward: 304.97 | Coverage: 65.8% | Eps: 0.979 | Loss: 0.0000
[+00:01:39 | ~01:31:16 left] [Ep 89] Reward: 210.41 | Coverage: 60.3% | Eps: 0.979 | Loss: 0.0000
[+00:01:40 | ~01:31:15 left] [Ep 90] Reward: 402.15 | Coverage: 59.6% | Eps: 0.979 | Loss: 0.0000
[+00:01:41 | ~01:31:14 left] [Ep 91] Reward: 327.45 | Coverage: 60.4% | Eps: 0.978 | Loss: 0.0000
[+00:01:42 | ~01:31:13 left] [Ep 92] Reward: 467.07 | Coverage: 56.0% | Eps: 0.978 | Loss: 0.0000
[+00:01:43 | ~01:31:12 left] [Ep 93] Reward: 315.99 | Coverage: 55.6% | Eps: 0.978 | Loss: 0.0000
[+00:01:44 | ~01:31:11 left] [Ep 94] Reward: 361.68 | Coverage: 51.7% | Eps: 0.978 | Loss: 0.0000
[+00:01:45 | ~01:31:10 left] [Ep 95] Reward: 287.02 | Coverage: 55.7% | Eps: 0.977 | Loss: 0.0000
[+00:01:46 | ~01:31:09 left] [Ep 96] Reward: 354.08 | Coverage: 70.5% | Eps: 0.977 | Loss: 0.0000
[+00:01:47 | ~01:31:08 left] [Ep 97] Reward: 264.33 | Coverage: 61.6% | Eps: 0.977 | Loss: 0.0000
[+00:01:49 | ~01:31:07 left] [Ep 98] Reward: 274.16 | Coverage: 53.9% | Eps: 0.977 | Loss: 0.0000
[+00:01:50 | ~01:31:06 left] [Ep 99] Reward: 258.98 | Coverage: 53.0% | Eps: 0.976 | Loss: 0.0000
[+00:01:51 | ~01:31:05 left] [Ep 100] Reward: 342.99 | Coverage: 50.5% | Eps: 0.976 | Loss: 0.0000

[+00:01:51 | ~01:31:05 left] [Eval] Episode 100: Reward=346.00, Coverage=50.8%

[+00:01:52 | ~01:31:03 left] [Ep 101] Reward: 273.99 | Coverage: 58.5% | Eps: 0.976 | Loss: 0.0000
[+00:01:53 | ~01:31:02 left] [Ep 102] Reward: 378.63 | Coverage: 58.6% | Eps: 0.976 | Loss: 0.0000
[+00:01:54 | ~01:31:01 left] [Ep 103] Reward: 208.56 | Coverage: 46.8% | Eps: 0.976 | Loss: 0.0000
[+00:01:55 | ~01:31:00 left] [Ep 104] Reward: 361.15 | Coverage: 59.2% | Eps: 0.975 | Loss: 0.0000
[+00:01:56 | ~01:30:59 left] [Ep 105] Reward: 386.11 | Coverage: 52.4% | Eps: 0.975 | Loss: 0.0000
[+00:01:57 | ~01:30:58 left] [Ep 106] Reward: 145.26 | Coverage: 65.2% | Eps: 0.975 | Loss: 0.0000
[+00:01:58 | ~01:30:57 left] [Ep 107] Reward: 228.69 | Coverage: 57.1% | Eps: 0.975 | Loss: 0.0000
[+00:01:59 | ~01:30:56 left] [Ep 108] Reward: 284.58 | Coverage: 67.1% | Eps: 0.974 | Loss: 0.0000
[+00:02:00 | ~01:30:55 left] [Ep 109] Reward: 222.04 | Coverage: 53.1% | Eps: 0.974 | Loss: 0.0000
[+00:02:02 | ~01:30:54 left] [Ep 110] Reward: 132.66 | Coverage: 54.2% | Eps: 0.974 | Loss: 0.0000
[+00:02:03 | ~01:30:53 left] [Ep 111] Reward: 365.47 | Coverage: 58.0% | Eps: 0.974 | Loss: 0.0000
[+00:02:04 | ~01:30:52 left] [Ep 112] Reward: 350.13 | Coverage: 62.8% | Eps: 0.973 | Loss: 0.0000
[+00:02:05 | ~01:30:51 left] [Ep 113] Reward: 373.18 | Coverage: 59.7% | Eps: 0.973 | Loss: 0.0000
[+00:02:06 | ~01:30:49 left] [Ep 114] Reward: 311.16 | Coverage: 48.2% | Eps: 0.973 | Loss: 0.0000
[+00:02:07 | ~01:30:48 left] [Ep 115] Reward: 410.87 | Coverage: 57.2% | Eps: 0.973 | Loss: 0.0000
[+00:02:08 | ~01:30:47 left] [Ep 116] Reward: 358.01 | Coverage: 56.2% | Eps: 0.972 | Loss: 0.0000
